Time (seconds),x0,x1,x2,x3,x4,x5
1.838,1187,1186,0,1200,1202,0
1.847,1189,1186,0,1205,1202,0
1.856,1193,1187,0,1205,1202,0
1.865,1185,1186,0,1202,1202,0
1.875,1184,1186,0,1203,1202,0
1.888,1188,1186,0,1202,1202,0
1.9,1186,1186,0,1205,1202,0
1.914,1193,1187,0,1202,1202,0
1.93,1185,1186,0,1199,1202,0
1.94,1185,1186,0,1203,1202,0
1.951,1185,1186,0,1206,1202,0
1.963,1186,1186,0,1202,1202,0
1.976,1181,1186,0,1198,1202,0
1.991,1185,1186,0,1200,1202,0
2.005,1186,1186,0,1207,1202,0
2.018,1185,1186,0,1205,1202,0
2.032,1184,1186,0,1202,1202,0
2.044,1187,1186,0,1202,1202,0
2.056,1188,1186,0,1200,1202,0
2.069,1186,1186,0,1210,1202,0
2.081,1185,1186,0,1206,1202,0
2.094,1186,1186,0,1205,1202,0
2.106,1184,1186,0,1200,1202,0
2.117,1188,1186,0,1200,1202,0
2.129,1186,1186,0,1200,1202,0
2.144,1187,1186,0,1199,1202,0
2.154,1187,1186,0,1198,1202,0
2.165,1182,1186,0,1201,1202,0
2.177,1186,1186,0,1204,1202,0
2.19,1185,1186,0,1208,1202,0
2.203,1198,1186,0,1204,1202,0
2.214,1187,1186,0,1199,1202,0
2.225,1183,1186,0,1202,1202,0
2.234,1186,1186,0,1200,1202,0
2.245,1182,1186,0,1210,1202,0
2.256,1185,1186,0,1197,1202,0
2.267,1185,1186,0,1204,1202,0
2.28,1182,1186,0,1203,1202,0
2.293,1185,1186,0,1200,1202,0
2.305,1180,1186,0,1200,1202,0
2.317,1191,1186,0,1198,1202,0
2.33,1183,1186,0,1200,1202,0
2.343,1187,1186,0,1205,1202,0
2.356,1185,1186,0,1204,1202,0
2.368,1187,1186,0,1201,1202,0
2.381,1186,1186,0,1202,1202,0
2.394,1190,1186,0,1199,1202,0
2.406,1188,1186,0,1204,1202,0
2.417,1188,1186,0,1199,1202,0
2.428,1184,1186,0,1203,1202,0
2.438,1191,1186,0,1204,1202,0
2.448,1189,1186,0,1205,1202,0
2.462,1186,1186,0,1205,1202,0
2.474,1181,1186,0,1203,1202,0
2.487,1186,1186,0,1211,1202,0
2.498,1185,1186,0,1205,1202,0
2.511,1183,1186,0,1206,1202,0
2.523,1187,1186,0,1210,1202,0
2.533,1193,1186,0,1205,1202,0
2.542,1183,1186,0,1199,1202,0
2.55,1191,1186,0,1206,1202,0
2.562,1183,1186,0,1202,1202,0
2.572,1186,1186,0,1206,1202,0
2.582,1185,1186,0,1202,1202,0
2.59,1191,1186,0,1207,1202,0
2.598,1186,1186,0,1201,1202,0
2.606,1188,1186,0,1202,1202,0
2.616,1185,1186,0,1204,1202,0
2.623,1187,1186,0,1198,1202,0
2.63,1186,1186,0,1210,1202,0
2.637,1189,1186,0,1202,1202,0
2.644,1190,1186,0,1206,1202,0
2.652,1180,1186,0,1206,1202,0
2.659,1184,1186,0,1205,1202,0
2.667,1188,1186,0,1201,1202,0
2.678,1181,1186,0,1205,1202,0
2.684,1186,1186,0,1203,1202,0
2.692,1187,1186,0,1204,1202,0
2.698,1183,1186,0,1209,1202,0
2.706,1189,1186,0,1203,1202,0
2.713,1184,1186,0,1201,1202,0
2.719,1187,1186,0,1204,1202,0
2.727,1184,1186,0,1204,1202,0
2.734,1188,1186,0,1199,1202,0
2.741,1184,1186,0,1205,1202,0
2.749,1189,1186,0,1200,1202,0
2.757,1184,1186,0,1204,1202,0
2.765,1186,1186,0,1203,1202,0
2.773,1191,1186,0,1207,1202,0
2.781,1187,1186,0,1200,1202,0
2.789,1189,1186,0,1204,1202,0
2.796,1183,1186,0,1202,1202,0
2.803,1185,1186,0,1202,1202,0
2.81,1187,1186,0,1200,1202,0
2.817,1185,1186,0,1198,1202,0
2.825,1191,1186,0,1203,1202,0
2.832,1186,1186,0,1206,1202,0
2.838,1188,1186,0,1204,1202,0
2.846,1194,1186,0,1200,1202,0
2.855,1190,1186,0,1202,1202,0
2.864,1189,1186,0,1203,1202,0
2.874,1188,1186,0,1205,1202,0
2.884,1187,1186,0,1202,1202,0
2.893,1185,1186,0,1200,1202,0
2.901,1188,1186,0,1201,1202,0
2.911,1188,1186,0,1199,1202,0
2.924,1186,1186,0,1205,1202,0
2.935,1188,1186,0,1204,1202,0
2.947,1184,1186,0,1203,1202,0
2.96,1187,1186,0,1205,1202,0
2.972,1187,1186,0,1208,1202,0
2.985,1185,1186,0,1198,1202,0
2.998,1187,1186,0,1206,1202,0
3.009,1188,1186,0,1205,1202,0
3.022,1185,1186,0,1201,1202,0
3.033,1187,1186,0,1205,1202,0
3.044,1184,1186,0,1200,1202,0
3.058,1182,1186,0,1203,1202,0
3.071,1185,1186,0,1200,1202,0
3.082,1183,1186,0,1201,1202,0
3.095,1186,1186,0,1201,1202,0
3.107,1184,1186,0,1205,1202,0
3.119,1187,1186,0,1209,1202,0
3.133,1185,1186,0,1204,1202,0
3.146,1189,1186,0,1207,1202,0
3.155,1185,1186,0,1201,1202,0
3.168,1184,1186,0,1199,1202,0
3.181,1186,1186,0,1195,1202,0
3.194,1183,1186,0,1207,1202,0
3.207,1184,1186,0,1196,1202,0
3.221,1184,1186,0,1202,1202,0
3.233,1187,1186,0,1206,1202,0
3.245,1186,1186,0,1201,1202,0
3.268,1185,1186,0,1207,1202,0
3.277,1187,1186,0,1200,1202,0
3.29,1185,1186,0,1199,1202,0
3.303,1185,1186,0,1205,1202,0
3.315,1195,1186,0,1202,1202,0
3.327,1186,1186,0,1200,1202,0
3.341,1183,1186,0,1206,1202,0
3.354,1189,1186,0,1206,1202,0
3.364,1185,1186,0,1205,1202,0
3.376,1185,1186,0,1204,1202,0
3.389,1188,1186,0,1205,1202,0
3.402,1184,1186,0,1207,1202,0
3.415,1194,1186,0,1203,1202,0
3.427,1185,1186,0,1198,1202,0
3.441,1195,1186,0,1204,1202,0
3.453,1186,1186,0,1204,1202,0
3.466,1189,1186,0,1200,1202,0
3.491,1188,1186,0,1203,1202,0
3.505,1184,1186,0,1202,1202,0
3.517,1185,1186,0,1210,1202,0
3.53,1188,1186,0,1201,1202,0
3.542,1183,1186,0,1204,1202,0
3.553,1190,1186,0,1205,1202,0
3.563,1190,1186,0,1200,1202,0
3.575,1184,1186,0,1202,1202,0
3.586,1187,1186,0,1203,1202,0
3.6,1188,1186,0,1203,1202,0
3.612,1194,1186,0,1210,1202,0
3.621,1192,1186,0,1209,1202,0
3.635,1192,1186,0,1213,1202,0
3.648,1198,1186,0,1207,1202,0
3.663,1192,1186,0,1203,1202,0
3.676,1195,1186,0,1204,1202,0
3.688,1201,1186,0,1202,1202,0
3.7,1217,1186,0,1205,1202,0
3.712,1250,1186,64,1209,1202,0
3.726,1303,1186,117,1203,1202,0
3.739,1329,1186,143,1204,1202,0
3.753,1349,1186,163,1208,1202,0
3.769,1378,1186,192,1199,1202,0
3.781,1409,1186,223,1200,1202,0
3.794,1421,1186,235,1205,1202,0
3.807,1433,1186,247,1205,1202,0
3.821,1435,1186,249,1201,1202,0
3.835,1444,1186,258,1204,1202,0
3.847,1446,1186,260,1204,1202,0
3.861,1438,1186,252,1208,1202,0
3.875,1444,1186,258,1203,1202,0
3.89,1439,1186,253,1203,1202,0
3.903,1395,1186,209,1199,1202,0
3.914,1277,1186,91,1201,1202,0
3.925,1212,1187,0,1206,1202,0
3.939,1199,1187,0,1203,1202,0
3.949,1191,1187,0,1205,1202,0
3.958,1190,1187,0,1202,1202,0
3.968,1187,1187,0,1205,1202,0
3.979,1195,1187,0,1204,1202,0
3.989,1189,1187,0,1206,1202,0
4.001,1186,1187,0,1199,1202,0
4.014,1188,1187,0,1203,1202,0
4.026,1186,1187,0,1205,1202,0
4.037,1186,1187,0,1205,1202,0
4.049,1190,1187,0,1201,1202,0
4.06,1186,1187,0,1198,1202,0
4.071,1184,1187,0,1199,1202,0
4.083,1181,1187,0,1203,1202,0
4.096,1185,1187,0,1204,1202,0
4.111,1187,1187,0,1200,1202,0
4.123,1185,1187,0,1199,1202,0
4.135,1187,1187,0,1204,1202,0
4.149,1192,1187,0,1198,1202,0
4.162,1187,1187,0,1202,1202,0
4.175,1187,1187,0,1201,1202,0
4.189,1194,1187,0,1203,1202,0
4.202,1192,1187,0,1199,1202,0
4.215,1193,1187,0,1204,1202,0
4.229,1186,1187,0,1202,1202,0
4.24,1192,1187,0,1207,1202,0
4.251,1186,1187,0,1204,1202,0
4.263,1190,1187,0,1208,1202,0
4.276,1191,1187,0,1207,1202,0
4.287,1185,1187,0,1204,1202,0
4.298,1187,1187,0,1202,1202,0
4.308,1186,1187,0,1203,1202,0
4.32,1186,1187,0,1203,1202,0
4.333,1187,1187,0,1198,1202,0
4.347,1187,1187,0,1204,1202,0
4.36,1186,1187,0,1202,1202,0
4.374,1186,1187,0,1201,1202,0
4.388,1188,1187,0,1205,1202,0
4.399,1189,1187,0,1207,1202,0
4.413,1190,1187,0,1201,1202,0
4.426,1188,1187,0,1204,1202,0
4.441,1186,1187,0,1204,1202,0
4.456,1193,1187,0,1205,1202,0
4.468,1187,1187,0,1197,1202,0
4.48,1193,1187,0,1209,1202,0
4.492,1187,1187,0,1207,1202,0
4.506,1186,1187,0,1202,1202,0
4.52,1187,1187,0,1202,1202,0
4.533,1184,1187,0,1201,1202,0
4.546,1188,1187,0,1202,1202,0
4.559,1186,1187,0,1203,1202,0
4.572,1192,1187,0,1202,1202,0
4.585,1187,1187,0,1207,1202,0
4.598,1191,1187,0,1209,1202,0
4.611,1187,1187,0,1202,1202,0
4.627,1188,1187,0,1202,1202,0
4.641,1186,1187,0,1202,1202,0
4.649,1183,1187,0,1208,1202,0
4.663,1187,1187,0,1200,1202,0
4.677,1193,1187,0,1203,1202,0
4.687,1187,1187,0,1204,1202,0
4.701,1188,1187,0,1200,1202,0
4.715,1186,1187,0,1202,1202,0
4.727,1190,1187,0,1202,1202,0
4.741,1186,1187,0,1205,1202,0
4.751,1184,1187,0,1199,1202,0
4.76,1189,1187,0,1203,1202,0
4.769,1185,1187,0,1200,1202,0
4.777,1184,1186,0,1206,1202,0
4.785,1187,1186,0,1204,1202,0
4.791,1187,1186,0,1204,1202,0
4.798,1190,1187,0,1199,1202,0
4.807,1186,1187,0,1200,1202,0
4.816,1186,1186,0,1204,1202,0
4.823,1187,1186,0,1203,1202,0
4.831,1185,1186,0,1201,1202,0
4.839,1182,1186,0,1202,1202,0
4.847,1189,1186,0,1202,1202,0
